2	69
9	73
11	58
17	53
18	3
22	80
25	6
26	44
27	45
28	23
33	77
35	7
36	53
42	8
45	74
47	72
50	49
51	59
53	76
57	39
59	38
64	72
74	12
82	64
83	77
84	62
86	68
87	45
95	7
96	62
97	15
98	63
100	2
102	27
104	49
105	78
106	43
113	50
116	8
119	27
120	15
121	14
123	69
130	55
133	78
144	66
145	54
149	68
152	62
164	56
166	35
167	17
169	46
175	23
179	23
180	30
189	37
197	19
198	33
200	42
201	12
204	34
210	44
212	80
216	25
218	67
225	2
229	55
231	43
232	51
233	2
239	56
242	19
243	51
245	24
249	64
251	20
253	65
254	55
255	37
256	12
258	66
259	69
262	9
266	74
271	16
272	28
284	78
285	77
286	30
287	42
288	10
289	79
295	18
297	57
299	18
311	23
313	59
315	54
317	80
319	28
320	25
321	16
323	3
324	26
326	23
327	44
331	33
333	4
334	42
337	63
340	58
350	41
352	65
358	77
359	36
360	33
362	73
368	80
378	61
380	54
381	60
382	50
385	56
386	9
390	41
391	50
393	44
398	55
400	15
401	14
402	29
405	19
407	68
412	72
413	13
414	56
415	39
418	69
422	12
424	24
425	69
432	71
441	65
443	33
445	48
446	22
449	24
451	33
452	65
456	52
457	51
459	47
460	42
461	80
463	38
465	19
467	47
470	61
471	11
472	61
476	22
477	22
479	52
480	39
483	79
492	14
496	32
499	14
501	18
509	35
515	7
520	57
523	74
526	3
532	39
535	59
538	8
541	71
542	17
543	16
544	40
546	45
547	41
550	4
561	34
562	70
565	55
568	3
570	68
572	18
577	65
583	70
588	71
590	2
591	30
592	71
594	39
596	64
597	52
599	74
603	65
605	11
606	79
607	45
609	50
613	4
616	57
621	80
622	64
626	35
627	29
632	74
633	49
636	71
639	69
640	35
643	12
644	65
652	53
655	74
656	7
657	19
659	73
662	77
663	64
664	75
666	72
667	63
668	67
669	53
670	59
671	25
672	58
673	41
676	56
680	20
683	16
690	3
696	19
700	40
703	38
708	53
710	45
716	13
718	65
720	69
722	62
726	34
735	16
736	75
743	71
744	14
746	60
748	12
750	45
751	46
753	54
754	67
755	74
756	1
761	4
765	62
766	11
772	38
773	7
780	43
783	56
785	36
786	8
791	44
792	70
795	61
802	31
803	53
805	25
806	17
818	51
822	11
823	80
828	53
838	28
841	10
842	13
845	40
846	26
847	52
850	45
856	36
861	5
862	22
863	78
871	25
874	17
876	76
887	13
894	79
899	32
903	80
905	55
911	37
914	36
915	62
918	63
920	22
923	53
928	14
929	58
933	49
942	34
944	59
948	4
949	64
951	33
952	75
957	44
959	21
962	50
963	34
966	21
968	33
971	22
974	18
976	31
981	64
983	25
984	10
985	70
987	23
990	69
991	34
995	76
998	26
1004	52
1006	68
1009	35
1013	24
1016	32
1021	60
1023	25
1024	61
1027	39
1029	63
1032	7
1034	71
1040	42
1041	79
1043	57
1044	40
1045	38
1048	13
1049	28
1051	42
1055	29
1061	60
1064	41
1068	40
1074	76
1076	18
1077	39
1078	20
1080	50
1082	56
1083	77
1086	73
1093	1
1094	1
1095	63
1099	34
1106	2
1107	5
1109	48
1114	71
1120	40
1126	72
1128	57
1130	70
1131	50
1132	20
1134	14
1137	4
1139	14
1140	60
1143	37
1145	42
1146	65
1147	16
1151	28
1155	40
1156	26
1157	45
1159	55
1162	25
1164	25
1170	20
1182	21
1185	45
1187	74
1189	9
1191	55
1206	31
1208	54
1215	54
1218	36
1226	34
1228	31
1231	52
1236	79
1238	29
1240	30
1246	35
1247	68
1260	64
1261	9
1267	74
1270	12
1271	43
1274	16
1290	37
1292	15
1300	60
1310	77
