"RS1" "RS2"
"SIMGD6824H" -3.97425910502675 5.02516284070696
"SIMGD6825H" -0.020784138370401 -0.797097866828624
"SIMGD6826H" -0.0441340364605231 0.446676968455097
"SIMGD6827H" -0.40078098196889 -2.6064852166422
"SIMGD6828H" -0.0912301927305257 -0.0967627968388926
"SIMGD6829H" 0.472769820929896 0.298719666473318
"SIMGD6831H" -0.218054039622671 1.28588537697631
"SIMGD6833H" -0.243617246678857 -0.0621119734958173
"SIMGD6840H" 0.523134014263555 0.227125180008135
"SIMGD6841H" -1.03951756847989 -0.719001026220449
"SIMGD6844H" 0.16427600076487 -0.729948728379042
"SIMGD6846H" 0.561548962605852 0.229298886545318
"SIMGD6847H" 1.26048141498321 0.250126240180409
"SIMGD6848H" 0.0295271839211374 0.23545650339557
"SIMGD6851H" -6.6795887021127 -3.63317357182246
"SIMGS6764H" 1.66717813407578 -1.53509913130018
"SIMGS6765H" -0.159772630374696 -0.867578027770484
"SIMGS6767H" 1.03465167856243 1.05598990280763
"SIMGS6768H" -0.339478687966023 1.07030671375996
"SIMGS6769H" -0.428765179115556 1.87438468343602
"SIMGS6771H" 0.104640130574415 0.0116612601752078
"SIMGS6773H" 3.36286994342234 -2.02000367367717
"SIMGS6775H" -0.207765024007896 -0.404151914590405
"SIMGS6776H" 0.968670577285741 0.489296454556416
"SIMGS6778H" -0.0726359767167419 0.243136729850913
"SIMGS6780H" 0.453505116815793 0.29258455153667
"SIMGS6784H" -0.356627325045656 -0.150763287814275
"SIMGS6785H" -0.00523574543432627 0.56381485830795
"SIMGS6788H" 0.194576511035606 0.517689034068092
"SIMGS6789H" -0.209069744128438 0.245772535479149
"SIMGS6790H" 0.504868865463208 1.83821326243234
"SIMJD6884H" 0.18670069575724 -0.320723674235855
"SIMJD6886H" -0.248542157544484 -0.021613953173668
"SIMJD6887H" 0.0166969948301628 -0.566762601966312
"SIMJD6888H" -0.223063979279024 0.35553559552867
"SIMJD6894H" -0.193247419361902 -0.180328669813209
"SIMJD6895H" 0.218034648457259 -0.134799493548865
"SIMJD6896H" 0.23612800399301 -0.628733064099166
"SIMJD6897H" 0.292216668863363 -0.654486891044842
"SIMJD6898H" -0.00891510666025665 0.22043092652809
"SIMJD6899H" -1.05320326571681 -0.874812305733111
"SIMJD6905H" 0.187151055300568 -0.0354078690495882
"SIMJD6906H" 1.34555457422377 1.29030824226724
"SIMJD6907H" -0.131538461793897 -0.00535024178665042
"SIMJD6908H" -0.237178132540581 -0.0157399031456488
"SIMJD6913H" 1.50514897906429 -0.64343597080424
"SIMJS6704H" -0.224252416898339 -1.5728978914346
"SIMJS6706H" -1.08452289324598 0.086369189913299
"SIMJS6707H" -0.310199162087627 -0.359336915454446
"SIMJS6709H" 0.44597234894368 -0.520341295504512
"SIMJS6711H" -0.20345678012082 -0.175271200340032
"SIMJS6713H" -0.201446391407089 1.5072821841162
"SIMJS6715H" 0.390942330852288 0.273148758642446
"SIMJS6716H" -0.0951279222045566 0.254011568384676
"SIMJS6717H" -0.518121701150897 0.482285052528457
"SIMJS6718H" 0.249921896173977 -1.80282885849948
"SIMJS6725H" 0.743585452666017 1.52600412783297
"SIMJS6726H" -1.12740900910838 0.640877212493371
"SIMJS6727H" -0.638347450804058 -1.23626189606433
"SIMJS6728H" 0.505183286152712 -0.632771063422734
"SIMPD7015H" -0.0197893352490552 -0.198439905236185
"SIMPD7016H" -0.159930838508441 0.470703647996165
"SIMPD7018H" -0.0709201884388779 -0.0350569032783821
"SIMPD7019H" 0.779000942081254 0.517967597784073
"SIMPD7021H" -0.333218341284224 1.89952704913521
"SIMPD7022H" -0.730425762114137 -0.162331083933726
"SIMPD7023H" -0.753023448117484 -0.183597040603669
"SIMPD7024H" 0.685524411093701 1.29023064910109
"SIMPD7025H" -0.257748823188153 -0.00905754127195255
"SIMPD7027H" -1.13930050959509 -0.822334834324101
"SIMPD7035H" -0.233064075491441 -0.286091227067374
"SIMPD7036H" 0.043759713671796 -0.10767179225258
"SIMPD7037H" -0.319127576057441 -0.887988335297116
"SIMPD7040H" -0.13232705892819 1.66560258104188
"SIMPD7041H" 0.221324064216009 1.53177353955364
"SIMPS6633H" 0.67952106865457 -0.453631603796272
"SIMPS6634H" -0.466678366271826 -0.405358736285386
"SIMPS6635H" -0.945672514633845 1.07976069825199
"SIMPS6638H" -0.279368532734656 -0.0631111819368614
"SIMPS6639H" -0.308235672723264 -0.26736156839841
"SIMPS6641H" 0.207126554760532 0.0597002617050067
"SIMPS6642H" 0.649532773110318 -0.0292282023446217
"SIMPS6643H" 0.233426469014043 -0.762296318218805
"SIMPS6644H" 0.650519508452592 0.207987858452384
"SIMPS6645H" -0.764579829259463 -0.396437904855583
"SIMPS6646H" 0.400365245851935 0.303463968680002
"SIMPS6652H" 0.0668458652180462 0.0735424297404522
"SIMPS6654H" -0.183234526445234 0.828150633570678
"SIMPS6657H" 0.202953080107781 0.482046848405857
"SIMPS6658H" 0.456684031717385 -0.333527513361544
"SIMPS6661H" 0.180002461207143 -1.3157497688192
"SIMWD6945H" 1.02841061048197 -0.775281691858235
"SIMWD6947H" 0.486392203924608 0.0863996191151898
"SIMWD6948H" 0.966442775573692 -0.0829051631809403
"SIMWD6954H" 0.482464229116247 -0.855585331229005
"SIMWD6955H" -0.118812030054878 0.070479581837559
"SIMWD6956H" 0.247411684525222 0.0294188022213447
"SIMWD6957H" -0.0344773056004563 0.490596970166569
"SIMWD6958H" 1.24685339964453 -0.300461117544345
"SIMWD6959H" -0.348881402224807 -0.112967088466252
"SIMWD6962H" 0.037352801677478 -0.135312968854675
"SIMWD6967H" -0.166799033186014 -0.715450713905483
"SIMWD6968H" -0.014514445002322 0.293176642120192
"SIMWD6969H" -0.0297894585438008 -0.641695446213277
"SIMWD6972H" 1.22195846373538 0.124928070769144
